final_cluster,plain_label,county_count,mean_assignment_confidence,label_rationale
0,"Coastal flood, hurricane, high-tax insurance-pressure counties",489,0.9189864318678992,"High coastal flooding and hurricane risk, high storm-injury signal, elevated premiums/nonrenewal and property-tax percentiles."
1,Western wildfire and mountain-hazard insurance-pressure counties,202,0.9117192668713412,"High wildfire, avalanche, volcanic/mountain hazard, warm-temperature, and premium-growth signals; low tornado/hurricane/wind exposure."
2,Temperature-variable severe-storm counties,353,0.929094191799998,High temperature volatility with severe-storm/winter/cold signals; lower wildfire and warmer baseline temperatures.
3,Warm severe-storm casualty counties,179,0.9345430829217256,High storm death/injury percentiles with warm stable temperatures and lower property-tax percentiles.
4,Tornado and storm-injury temperature-variable counties,413,0.959557395071474,High storm injury and tornado signal with temperature variability.
5,Western wildfire and warm mountain-hazard counties,177,0.9410594695410772,"High wildfire, volcanic, avalanche/mountain hazard, and warm-temperature signals with low cold-wave/hurricane exposure."
6,High premium-growth insurance-pressure counties,117,0.9381831403431792,High premium level/growth percentiles with low nonrenewal-rate and low major hazard exposure.
7,Volatile housing-market and temperature-variable counties,301,0.9140981602335564,High sale-to-list and sold-above-list volatility plus temperature variability and longer days-on-market.
8,"High-premium, high-tax housing-market counties",253,0.92721074095179,"High premium growth, effective tax, and housing-market pressure with lower hurricane/earthquake/flood/lightning risk."
9,High-casualty severe-storm counties,195,0.9156199381037776,"Very high storm death/injury percentiles and event-count percentile, with otherwise moderate housing and tax signals."
10,"Mountain, landslide, and inland-flood low-premium counties",290,0.9277174846518186,"High avalanche, landslide, inland-flood, and storm-injury signals with low insurance premium levels."
11,Ice-storm and cold severe-storm casualty counties,200,0.9711254258178992,High storm death percentiles plus ice-storm/winter-weather/cold-wave signals.
